,Unnamed: 0.1,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
158,172,172,한국 대중불교불이종 동도사 전기차충전소,경기 용인시 처인구 이동읍 어진로 842,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1983431,37.10778149
164,178,178,용인휴게소 서창방향 전기차충전소,경기 용인시 처인구 주북로 66-14,0,24,1,2,1,0,0,0,0,1,2,1,1,1,0,0,127.2383059,37.24836239
165,179,179,리빙파워센터 전기차충전소,경기 용인시 기흥구 신고매로 59 리빙파워센터 주차장 1Fm층 C16,5,24,1,7,1.166666667,1.166666667,1.166666667,1.166666667,1.166666667,1.166666667,1.166666667,1.166666667,0,0,1.166666667,2.333333333,127.1142482,37.22341519
168,182,182,동부도서관 전기차충전소,경기 용인시 처인구 명지로 27,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1904024,37.23348159
171,185,185,기흥동행정복지센터 전기차충전소,경기 용인시 기흥구 고매로43번길 12-14,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1155323,37.23152688
173,187,187,경기도 용인시 처인구 동부로 19 (저압수용가),경기 용인시 처인구 동부로 19,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2140819,37.23142768
174,188,188,수지구청 전기차충전소,경기 용인시 수지구 포은대로 435,0,24,1,2,0,0,0,2,0,1,0,1,2,2,0,0,127.0978219,37.32225475
178,192,192,양우내안에에듀퍼스트5 전기차충전소,경기 용인시 처인구 경안천로 196-1 217동,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.2211929,37.24918797
184,198,198,용인 중앙동행정복지센터 전기차충전소,경기 용인시 처인구 김량장동 303-14,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2052456,37.23408104
187,201,201,삼성물산리조트지원센터 전기차충전소,경기 용인시 처인구 포곡읍 에버랜드로 199,5,24,1,5,0,0,0,0,0,0,0,0,0,0,0,0,127.202128,37.2940667
189,204,204,강남앤플러스 전기차충전소,경기 용인시 기흥구 강남로 3,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1261326,37.27105025
190,205,205,포곡읍행정복지센터 전기차충전소,경기 용인시 처인구 포곡읍 포곡로 258,0,24,1,2,0,0,0,0,0,0,1,1,0,0,0,0,127.2308231,37.27781781
191,206,206,이브이세상 전기차충전소,경기 용인시 처인구 모현읍 모산로 43,2,24,1,2,0,0,0,0,0,0,0,0,0,0,1,1,127.2555709,37.34803298
194,209,209,용인축구센터 전기차충전소,경기 용인시 처인구 원삼면 보개원삼로 1752,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.3193171,37.1539468
197,212,212,대륙 전기차충전소,경기 용인시 처인구 포곡읍 포곡로234번길 22-9,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.2297744,37.27502275
198,214,214,금학공영주차장 전기차충전소,경기 용인시 처인구 용문로 140,0,24,1,2,0,1,2,0,0,2,0,1,0,0,2,2,127.201254,37.23613047
199,215,215,영덕1동주민센터 전기차충전소,경기 용인시 기흥구 흥덕2로118번길 2,0,9,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.0745334,37.27782133
