,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
63,63,자봉마을써니밸리아파트4 전기차충전소,경기 용인시 기흥구 사은로 274-22,2,24,1,2,2,2,0,0,0,0,0,0,0,0,0,2,127.1342596,37.2507075
64,64,이마트 죽전점 전기차충전소,경기 용인시 수지구 포은대로 552 지상6층 주차장 B구역,0,12,1,12,3,1,1,0,0,2,2,0,0,0,0,1,127.1099743,37.32533399
65,65,수지보원아파트105동 전기차충전소,경기 용인시 수지구 수풍로 16,2,24,1,2,0,0,0,0,0,0,0,0,1,1,0,0,127.0911935,37.32611746
66,66,현대자동차 마북캠퍼스 전기차충전소,경기 용인시 기흥구 마북로240번길 17-4,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1400782,37.31138203
67,67,하늘채아파트 전기차충전소,경기 용인시 기흥구 강남동로 20,6,24,1,6,3.6,3.6,3.6,4.8,4.8,2.4,0,0,0,0,1.2,2.4,127.1279392,37.2697555
68,68,신봉동일하이빌2단지204동 전기차충전소,경기 용인시 수지구 신봉3로11번길 10-7,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.0675946,37.32609211
69,69,동부동주민센터 전기차충전소,경기 용인시 처인구 마평동 533-8,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2191469,37.23285171
70,70,동백동주민센터 전기차충전소,경기 용인시 기흥구 동백중앙로 214 지하2층 주차장 벽면,0,24,1,1,0,0,0,0,1,0,1,0,0,0,1,0,127.1516873,37.27253257
71,71,상하동진흥더루벤스2단지아파트 전기차충전소,경기 용인시 기흥구 중부대로746번길 21,4,24,1,5,3,4,5,4,3,2,2,2,2,2,3,3,127.1380702,37.26048493
72,72,자연앤스위첸아파트 전기차충전소,경기 용인시 기흥구 흥덕2로117번길 14,4,24,1,4,1,1,0,0,0,0,0,0,1,1,1,0,127.0724204,37.27900057
73,73,삼성래미안이스트팰리스4차아파트,경기 용인시 수지구 동천로153번길 6,5,24,1,5,3,0,0,0,0,0,0,1,1,1,2,3,127.0864477,37.33645603
74,74,용인시기흥역센트럴푸르지오 전기차충전소,"경기 용인시 기흥구 기흥역로58번길 10 205동,206동 지하1층",5,24,1,5,2,0,0,0,1,0,0,0,1,1,0,1,127.1190297,37.2739932
75,75,이편한세상 용인한숲시티2단지1 전기차충전소,경기 용인시 처인구 남사읍 한숲로 137,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1739486,37.16135541
76,76,도현마을현대아파트 전기차충전소,경기 용인시 기흥구 구갈로 115-16,10,24,1,10,0,0,0,0,0,0,0,0,0,0,0,1,127.1090268,37.28553181
77,77,운학동예비군훈련장 전기차충전소,경기 용인시 처인구 묵동로 73-1,0,24,1,4,0,0,0,0,0,0,2,2,2,2,0,0,127.2385587,37.21491644
78,78,모현다목적복지회관 전기차충전소,경기 용인시 처인구 모현읍 일산리 554-13,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2311031,37.34232781
79,79,기흥동부아파트 전기차충전소,경기 용인시 기흥구 구갈로28번길 32,3,24,1,3,0,0,0,0,0,0,0,1,0,0,1,1,127.1152506,37.27645858
80,80,용인백현마을 경남아너스빌 전기차충전소,경기 용인시 기흥구 동백8로131번길 9,6,12,1,6,2,2,2,2,1,1,1,1,1,1,2,2,127.1644425,37.28285803
81,81,신동아파밀리에 전기차충전소,경기 용인시 기흥구 흥덕3로 20,5,24,1,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,127.0838352,37.27164352
82,82,용인시기후변화체험교육센터 전기차충전소,경기 용인시 처인구 동부로162번길 14 지상1층 주차장,0,24,1,1,0,0,0,0,0,0,0,0,0,0,1,1,127.2228402,37.222622
83,83,신정마을9단지 902동 전기차충전소,경기 용인시 수지구 풍덕천로 76 제1주차장 902동쪽,2,24,1,2,2,2,2,2,0,0,0,1,0,0,0,1,127.090878,37.31997473
84,84,용인 만현마을2단지아이파크아파트,경기 용인시 수지구 만현로67번길 9,7,24,1,7,3,3,3,3,3,1,1,1,0,0,3,6,127.0878811,37.30949175
85,85,양지면사무소 전기차충전소,경기 용인시 처인구 양지면 양지로105번길 5,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2798389,37.2354869
86,86,현대블루핸즈 구성서비스 전기차충전소,경기 용인시 기흥구 중동 1112-8,0,24,1,1,1,1,1,1,0,0,0,0,0,0,0,1,127.1428125,37.2827905
87,87,모현농협 하나로마트 전기차충전소,경기 용인시 처인구 모현읍 백옥대로 2373,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.2488191,37.33557156
88,88,용인시 기흥테라타워 전기차충전소,경기 용인시 기흥구 서천로201번길 11 주차장,7,24,1,6,1,1,0,0,0,1,2,1,0,0,0,1,127.0718941,37.23142599
89,89,아르피아주차장 전기차충전소,경기 용인시 수지구 포은대로 499,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1047625,37.32561804
90,90,용인하갈정비소 전기차충전소,경기 용인시 기흥구 용구대로 1845,0,24,1,1,0,0,0,0,0,1,1,0,0,0,1,1,127.1047795,37.25295779
91,91,용인시 롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124,5,24,1,5,0,0,0,0,1.25,0,5,5,1.25,1.25,0,0,127.1209127,37.22537006
92,92,한화리조트 용인 베잔송 전기차충전소 (테슬라전용),경기 용인시 처인구 남사읍 봉무로153번길 79,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.1469823,37.13362839
94,94,LG빌리지6차아파트601동 전기차충전소,경기 용인시 수지구 성복2로 158,2,24,1,2,0,0,0,0,0,0,0,2,0,0,2,0,127.0708408,37.31913154
95,95,이동읍사무소 전기차충전소,경기 용인시 처인구 이동읍 경기동로 673,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1961973,37.14112038
96,96,제이앤제이카페앤바 전기차충전소,경기 용인시 처인구 양지면 남평로 114,2,24,1,2,0,1,1,0,0,0,0,0,0,0,1,1,127.2952405,37.22631679
97,97,오토허브서비스 전기차충전소,경기 용인시 기흥구 중부대로 242-2,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0917355,37.26757136
98,98,롯데슈퍼 용인점 전기차충전소,경기 용인시 처인구 김량장동 13,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2104885,37.2306357
99,99,용인성복자이2차2 전기차충전소,경기 용인시 수지구 성복2로 251,2,24,1,2,2,2,2,2,0,1,2,0,0,0,1,1,127.0612457,37.31886118
100,100,광교SB타운 전기차충전소,경기 용인시 수지구 광교마을로 54,0,24,1,1,0,0,0,0,0,1,1,1,1,1,0,0,127.0705108,37.29820366
101,101,상갈공영주차장 전기차충전소,경기 용인시 기흥구 금화로105번길 3,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.106739,37.26584933
102,102,역삼동행정복지센터 전기차충전소,경기 용인시 처인구 명지로 16,0,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,127.1881482,37.23455978
103,103,용인성복힐스테이트3차아파트 전기차충전소,경기 용인시 수지구 성복2로 220,4,24,1,4,1,1,1,1,1,1,1,1,2,2,3,1,127.0626463,37.32063629
105,105,수지태영데시앙아파트 전기차충전소,경기 용인시 수지구 수지로 166 지하1층,6,24,1,6,5,6,6,5,6,3,3,1,2,2,3,4,127.0829638,37.3155735
106,106,경기 용인시 처인구 모현읍 오산로13번길 38-34 저압수용가,경기 용인시 처인구 모현읍 오산로13번길 38-34,0,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,127.1620386,37.3316676
107,107,성동마을수지자이1차아파트 4 전기차충전소,경기 용인시 수지구 성복2로 174,3,24,1,3,2,2,0,0,0,0,0,0,2,2,1,2,127.0689812,37.32150244
108,108,처인구청부설주차장 전기차충전소,경기 용인시 처인구 금령로 50 지상1층 주차장,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2013372,37.23437996
109,109,샬레파인비스타아파트 전기차충전소,경기 용인시 기흥구 진산로 140,3,24,1,3,2,3,3,2,2,2,0,0,0,0,0,2,127.1016971,37.32164599
110,110,마북동주민센터 전기차충전소,경기 용인시 기흥구 마북동 162-4,0,24,1,1,0,0,0,0,0,0,0,0,0,0,1,0,127.1176507,37.30159238
111,111,용인시민체육센터 제2주차장 전기차충전소,경기 용인시 처인구 포곡읍 금어로 317,0,24,1,4,0,0,0,0,1,1,1,0,0,0,0,0,127.2457929,37.27638286
112,112,죽전아이뷰아파트 전기차충전소,경기 용인시 수지구 현암로 3 제1주차장 지하2층,4,24,1,4,1,1,1,0,0,0,0,1,1,1,2,2,127.1102006,37.33253393
113,113,온누리마을아파트 전기차충전소,경기 용인시 처인구 금학로235번길 26 1층 17,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1912995,37.24042207
114,114,양우내안에에듀퍼스트2 전기차충전소,경기 용인시 처인구 경안천로 196-1 202동,2,24,1,2,0,0,0,0,0,0,1,0,0,0,0,0,127.2211929,37.24918797
115,115,용인신촌마을포스홈타운2단지 전기차충전소,경기 용인시 기흥구 신촌로47번길 11 305동 앞 1층주차장,10,24,1,10,1,1,1,0,0,1,1,0,0,0,0,1,127.1087349,37.30863097
116,116,용인 동천역루체스타 전기차충전소,경기 용인시 수지구 신수로783번길 12-1,0,24,1,1,1,1,1,1,0,0,0,0,0,0,1,1,127.1017409,37.34040228
117,117,죽전역월드메르디앙 전기차충전소,경기 용인시 수지구 달맞이로 13,5,24,1,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,127.1126968,37.3264962
118,118,효심의료재단용인서울병원 전기차충전소,경기 용인시 처인구 고림로 81,2,24,1,2,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,127.2144905,37.24031755
119,119,용인흥덕4단지 임차인대표회의 전기차충전소,경기 용인시 기흥구 흥덕2로 42,8,24,1,8,4,4,4,4,4,4,4,4,4,4,4,4,127.0736312,37.27148028
120,120,용인신성아파트 전기차충전소,경기 용인시 처인구 명지로 5,5,24,1,6,2,1,1,0,-1,-1,-1,-1,-1,-1,1,1,127.189219,37.23553427
121,121,한국소방산업기술원 전기차충전소,경기 용인시 기흥구 지삼로 331,0,10,1,4,1,0,0,0,0,0,0,0,1,1,0,1,127.1454449,37.23543402
122,122,삼성화재교통박물관 전기차충전소,경기 용인시 처인구 포곡읍 에버랜드로376번길 171 박물관뒷편 주차장,7,9,1,9,0,0,0,0,0,0,0,3,0,0,0,0,127.2169538,37.30037229
